areaCode,areaName,baljuCode,baljuGubun,cnt,dogubCode,dogubGubun,notiDate
00,전체,0,공공,235,1,원도급,20200813
00,전체,1,민간(법인),120,1,원도급,20200813
00,전체,2,민간(개인),72,1,원도급,20200813
00,전체,3,전체,427,1,원도급,20200813
00,전체,0,공공,160,2,하도급,20200813
00,전체,1,민간(법인),128,2,하도급,20200813
00,전체,2,민간(개인),70,2,하도급,20200813
00,전체,3,전체,358,2,하도급,20200813
11,서울,0,공공,38,1,원도급,20200813
11,서울,1,민간(법인),18,1,원도급,20200813
11,서울,2,민간(개인),13,1,원도급,20200813
11,서울,3,전체,69,1,원도급,20200813
11,서울,0,공공,19,2,하도급,20200813
11,서울,1,민간(법인),15,2,하도급,20200813
11,서울,2,민간(개인),9,2,하도급,20200813
11,서울,3,전체,43,2,하도급,20200813
21,부산,0,공공,11,1,원도급,20200813
21,부산,1,민간(법인),10,1,원도급,20200813
21,부산,2,민간(개인),1,1,원도급,20200813
21,부산,3,전체,22,1,원도급,20200813
21,부산,0,공공,0,2,하도급,20200813
21,부산,1,민간(법인),8,2,하도급,20200813
21,부산,2,민간(개인),7,2,하도급,20200813
21,부산,3,전체,15,2,하도급,20200813
22,대구,0,공공,8,1,원도급,20200813
22,대구,1,민간(법인),4,1,원도급,20200813
22,대구,2,민간(개인),1,1,원도급,20200813
22,대구,3,전체,13,1,원도급,20200813
22,대구,0,공공,4,2,하도급,20200813
22,대구,1,민간(법인),6,2,하도급,20200813
22,대구,2,민간(개인),7,2,하도급,20200813
22,대구,3,전체,17,2,하도급,20200813
23,인천,0,공공,4,1,원도급,20200813
23,인천,1,민간(법인),5,1,원도급,20200813
23,인천,2,민간(개인),6,1,원도급,20200813
23,인천,3,전체,15,1,원도급,20200813
23,인천,0,공공,6,2,하도급,20200813
23,인천,1,민간(법인),13,2,하도급,20200813
23,인천,2,민간(개인),0,2,하도급,20200813
23,인천,3,전체,19,2,하도급,20200813
24,광주,0,공공,3,1,원도급,20200813
24,광주,1,민간(법인),2,1,원도급,20200813
24,광주,2,민간(개인),1,1,원도급,20200813
24,광주,3,전체,6,1,원도급,20200813
24,광주,0,공공,2,2,하도급,20200813
24,광주,1,민간(법인),2,2,하도급,20200813
24,광주,2,민간(개인),2,2,하도급,20200813
24,광주,3,전체,6,2,하도급,20200813
25,대전,0,공공,5,1,원도급,20200813
25,대전,1,민간(법인),3,1,원도급,20200813
25,대전,2,민간(개인),1,1,원도급,20200813
25,대전,3,전체,9,1,원도급,20200813
25,대전,0,공공,3,2,하도급,20200813
25,대전,1,민간(법인),4,2,하도급,20200813
25,대전,2,민간(개인),0,2,하도급,20200813
25,대전,3,전체,7,2,하도급,20200813
26,울산,0,공공,5,1,원도급,20200813
26,울산,1,민간(법인),3,1,원도급,20200813
26,울산,2,민간(개인),1,1,원도급,20200813
26,울산,3,전체,9,1,원도급,20200813
26,울산,0,공공,4,2,하도급,20200813
26,울산,1,민간(법인),2,2,하도급,20200813
26,울산,2,민간(개인),0,2,하도급,20200813
26,울산,3,전체,6,2,하도급,20200813
29,세종,0,공공,1,1,원도급,20200813
29,세종,1,민간(법인),4,1,원도급,20200813
29,세종,2,민간(개인),3,1,원도급,20200813
29,세종,3,전체,8,1,원도급,20200813
29,세종,0,공공,0,2,하도급,20200813
29,세종,1,민간(법인),1,2,하도급,20200813
29,세종,2,민간(개인),0,2,하도급,20200813
29,세종,3,전체,1,2,하도급,20200813
31,경기,0,공공,33,1,원도급,20200813
31,경기,1,민간(법인),30,1,원도급,20200813
31,경기,2,민간(개인),25,1,원도급,20200813
31,경기,3,전체,88,1,원도급,20200813
31,경기,0,공공,25,2,하도급,20200813
31,경기,1,민간(법인),24,2,하도급,20200813
31,경기,2,민간(개인),19,2,하도급,20200813
31,경기,3,전체,68,2,하도급,20200813
32,강원,0,공공,15,1,원도급,20200813
32,강원,1,민간(법인),1,1,원도급,20200813
32,강원,2,민간(개인),0,1,원도급,20200813
32,강원,3,전체,16,1,원도급,20200813
32,강원,0,공공,14,2,하도급,20200813
32,강원,1,민간(법인),3,2,하도급,20200813
32,강원,2,민간(개인),3,2,하도급,20200813
32,강원,3,전체,20,2,하도급,20200813
33,충북,0,공공,13,1,원도급,20200813
33,충북,1,민간(법인),8,1,원도급,20200813
33,충북,2,민간(개인),4,1,원도급,20200813
33,충북,3,전체,25,1,원도급,20200813
33,충북,0,공공,9,2,하도급,20200813
33,충북,1,민간(법인),3,2,하도급,20200813
33,충북,2,민간(개인),3,2,하도급,20200813
33,충북,3,전체,15,2,하도급,20200813
34,충남,0,공공,20,1,원도급,20200813
34,충남,1,민간(법인),4,1,원도급,20200813
34,충남,2,민간(개인),1,1,원도급,20200813
34,충남,3,전체,25,1,원도급,20200813
34,충남,0,공공,16,2,하도급,20200813
34,충남,1,민간(법인),11,2,하도급,20200813
34,충남,2,민간(개인),2,2,하도급,20200813
34,충남,3,전체,29,2,하도급,20200813
35,전북,0,공공,11,1,원도급,20200813
35,전북,1,민간(법인),4,1,원도급,20200813
35,전북,2,민간(개인),3,1,원도급,20200813
35,전북,3,전체,18,1,원도급,20200813
35,전북,0,공공,11,2,하도급,20200813
35,전북,1,민간(법인),7,2,하도급,20200813
35,전북,2,민간(개인),1,2,하도급,20200813
35,전북,3,전체,19,2,하도급,20200813
36,전남,0,공공,13,1,원도급,20200813
36,전남,1,민간(법인),10,1,원도급,20200813
36,전남,2,민간(개인),6,1,원도급,20200813
36,전남,3,전체,29,1,원도급,20200813
36,전남,0,공공,15,2,하도급,20200813
36,전남,1,민간(법인),10,2,하도급,20200813
36,전남,2,민간(개인),3,2,하도급,20200813
36,전남,3,전체,28,2,하도급,20200813
37,경북,0,공공,26,1,원도급,20200813
37,경북,1,민간(법인),5,1,원도급,20200813
37,경북,2,민간(개인),2,1,원도급,20200813
37,경북,3,전체,33,1,원도급,20200813
37,경북,0,공공,16,2,하도급,20200813
37,경북,1,민간(법인),12,2,하도급,20200813
37,경북,2,민간(개인),5,2,하도급,20200813
37,경북,3,전체,33,2,하도급,20200813
38,경남,0,공공,27,1,원도급,20200813
38,경남,1,민간(법인),9,1,원도급,20200813
38,경남,2,민간(개인),3,1,원도급,20200813
38,경남,3,전체,39,1,원도급,20200813
38,경남,0,공공,12,2,하도급,20200813
38,경남,1,민간(법인),6,2,하도급,20200813
38,경남,2,민간(개인),8,2,하도급,20200813
38,경남,3,전체,26,2,하도급,20200813
39,제주,0,공공,2,1,원도급,20200813
39,제주,1,민간(법인),0,1,원도급,20200813
39,제주,2,민간(개인),1,1,원도급,20200813
39,제주,3,전체,3,1,원도급,20200813
39,제주,0,공공,4,2,하도급,20200813
39,제주,1,민간(법인),1,2,하도급,20200813
39,제주,2,민간(개인),1,2,하도급,20200813
39,제주,3,전체,6,2,하도급,20200813
00,전체,0,공공,158,1,원도급,20200814
00,전체,1,민간(법인),110,1,원도급,20200814
00,전체,2,민간(개인),94,1,원도급,20200814
00,전체,3,전체,362,1,원도급,20200814
00,전체,0,공공,142,2,하도급,20200814
00,전체,1,민간(법인),133,2,하도급,20200814
00,전체,2,민간(개인),76,2,하도급,20200814
00,전체,3,전체,351,2,하도급,20200814
11,서울,0,공공,30,1,원도급,20200814
11,서울,1,민간(법인),17,1,원도급,20200814
11,서울,2,민간(개인),18,1,원도급,20200814
11,서울,3,전체,65,1,원도급,20200814
11,서울,0,공공,9,2,하도급,20200814
11,서울,1,민간(법인),18,2,하도급,20200814
11,서울,2,민간(개인),17,2,하도급,20200814
11,서울,3,전체,44,2,하도급,20200814
21,부산,0,공공,14,1,원도급,20200814
21,부산,1,민간(법인),11,1,원도급,20200814
21,부산,2,민간(개인),9,1,원도급,20200814
21,부산,3,전체,34,1,원도급,20200814
21,부산,0,공공,12,2,하도급,20200814
21,부산,1,민간(법인),4,2,하도급,20200814
21,부산,2,민간(개인),4,2,하도급,20200814
21,부산,3,전체,20,2,하도급,20200814
22,대구,0,공공,5,1,원도급,20200814
22,대구,1,민간(법인),4,1,원도급,20200814
22,대구,2,민간(개인),6,1,원도급,20200814
22,대구,3,전체,15,1,원도급,20200814
22,대구,0,공공,2,2,하도급,20200814
22,대구,1,민간(법인),6,2,하도급,20200814
22,대구,2,민간(개인),2,2,하도급,20200814
22,대구,3,전체,10,2,하도급,20200814
23,인천,0,공공,4,1,원도급,20200814
23,인천,1,민간(법인),10,1,원도급,20200814
23,인천,2,민간(개인),5,1,원도급,20200814
23,인천,3,전체,19,1,원도급,20200814
23,인천,0,공공,11,2,하도급,20200814
23,인천,1,민간(법인),7,2,하도급,20200814
23,인천,2,민간(개인),2,2,하도급,20200814
23,인천,3,전체,20,2,하도급,20200814
24,광주,0,공공,4,1,원도급,20200814
24,광주,1,민간(법인),3,1,원도급,20200814
24,광주,2,민간(개인),5,1,원도급,20200814
24,광주,3,전체,12,1,원도급,20200814
24,광주,0,공공,2,2,하도급,20200814
24,광주,1,민간(법인),2,2,하도급,20200814
24,광주,2,민간(개인),1,2,하도급,20200814
24,광주,3,전체,5,2,하도급,20200814
25,대전,0,공공,4,1,원도급,20200814
25,대전,1,민간(법인),4,1,원도급,20200814
25,대전,2,민간(개인),3,1,원도급,20200814
25,대전,3,전체,11,1,원도급,20200814
25,대전,0,공공,3,2,하도급,20200814
25,대전,1,민간(법인),3,2,하도급,20200814
