위험발생객체,위험발생위치,작업프로세스,인적피해,물적피해,사고원인
ACS 폼,고소,인상,추락,낙하,탈락
ACS 폼,고소,인상,추락,낙하,근입심도부족(Anchor볼트)
PHC 말뚝,,인양,충돌,낙하,와이어로프 이탈
PSC궤도빔,상부,설치,추락,전도,인력으로 안전작업대 설치
PSC 빔,,거치,추락,낙하,인양로프 해체방법 미흡
RCS 발판,고소,인양,충돌,,
가도지반 및 석축,호수주변,하역,익사,붕괴,운반시 지반상태 이상유무 확인미흡
가물막이,,해체,매몰,붕괴,보강재 미설치
가설철구조물,,,추락,붕괴,서포트 충돌
가시설,,,매몰,붕괴,시공계획서 및 시공상세도 미준수
가시설,,,매몰,붕괴,가시설 구조안전성 미검토
가시설,,,매몰,붕괴,과도한 변형
강박스,고소,이동,추락,,
갱폼,고소,해체,추락,낙하,지지/고정장치 미흡
갱폼,고소,해체,추락,낙하,탈락
갱폼,고소,해체,추락,낙하,연결볼트해체
갱폼,고소,해체,추락,낙하,해체방법 미흡
갱폼,,타설,,비산,재가공 불량핀 및 철선 사용
거더,교대,,추락,전도,수직철근 전도모멘트 발생
거더,교대,용접,협착,전도,임시 받침목 제거
거더,,철근조립,추락,,
거더,,타설,매몰,전도,설계시 교량내외측 하중 편차
거푸집,,,매몰,붕괴,재사용
거푸집,고소,설치,추락,붕괴,거푸집 지지대 위로 인양
거푸집,고소,설치,추락,,
거푸집,고소,자재인양,추락,붕괴,중량물 하중집중
거푸집,고소,철근적재,추락,붕괴,지지대 미설치
거푸집,고소,철근적재,추락,붕괴,철근 과적재
거푸집,고소,타설,추락,,
거푸집,고소,타설,추락,전도,작업하중(진동)
거푸집,고소,타설,추락,붕괴,타설하중 집중
거푸집,고소,해체,추락,,
거푸집,고소,해체,추락,낙하,크레인 줄걸이 미설치
거푸집,고소,해체,추락,붕괴,작업하중
거푸집,노출 콘크리트용,,매몰,붕괴,외부/재진동 및 높은 슬럼프 콘크리트 타설
거푸집,보,거치,추락,낙하,탈락(상승하던 샤클에 걸림)
거푸집,상부,운반,충돌,,
거푸집,슬래브,,매몰,붕괴,운반기계에 의한 지반교란
거푸집,슬래브,,추락,붕괴,중량물 하중집중
거푸집,옹벽 내부,설치,협착,전도,거푸집 수직도 미확보
거푸집,외벽,해체,추락,,
거푸집,클라이밍폼,인양,추락,낙하,작업발판 폼타이볼트 용접부위 파단
거푸집,하부 용접부,타설,,비산,용접불량
거푸집,호리빔 상부,타설,추락,붕괴,과하중 적치
거푸집,,설치,협착,,
거푸집,,정리,협착,전도,버팀대 미설치
거푸집,,정리,협착,전도,옹벽벽체 거푸집 설치시 수직도 미확보
거푸집,,조립,협착,,
거푸집,,조립,매몰,전도,버팀목 및 지지물 설치 미흡
거푸집,,철근배근,추락,붕괴,외력
거푸집,,타설,매몰,붕괴,구조안전성 미검토 및 조립도 미작성
거푸집,,타설,매몰,붕괴,타설순서 미준수
거푸집,,타설,매몰,붕괴,동절기 콘트리트 타설
거푸집,,타설,추락,붕괴,긴결 미흡
거푸집,,타설,추락,전도,콘크리트 유동화
거푸집,,타설,매몰,붕괴,강도 발취전해체
거푸집,,타설,매몰,붕괴,가새 및 지지대 미설치
거푸집,,형틀,매몰,전도,버팀목 및 지지물 설치 미흡
거푸집동바리,,,매몰,붕괴,재사용
거푸집동바리,,타설,,붕괴,구조안전성 미검토 및 조립도 미작성
거푸집동바리,,타설,매몰,붕괴,강도 발취전해체
거푸집동바리,,타설,추락,전도,가새 미설치
거푸집동바리,,타설,추락,붕괴,하중의 지지상태 미흡
거푸집동바리,,타설,추락,붕괴,가새 미설치
거푸집동바리,,타설,매몰,균열,
거푸집동바리,,타설,매몰,균열,
거푸집동바리,,타설,매몰,균열,
거푸집동바리,,타설,매몰,균열,
거푸집동바리,,타설,매몰,붕괴,설치방법 불량
거푸집동바리,,타설,매몰,붕괴,분산균형 타설 미실시
거푸집동바리,,타설,매몰,붕괴,동바리 조립도 미작성
거푸집동바리,,해체,매몰,붕괴,부재의 하중이 설계하중보다 큰경우 구조계산 미실시
거푸집동바리,,해체,충돌,전도,
건물,,리모델링,매몰,붕괴,구조안전성 미검토
건물,,리모델링,매몰,붕괴,작업하중
건물,,철거,매몰,붕괴,작업하중
경계석,,해체,협착,,
경사면,상부,굴착 및 반출,충돌,낙석,방호시설 미설치
경사버팀보,,해체,충돌,전도,해체작업 방법 불량
고소작업대 붐 와이어,,제거,추락,파손,
고소작업대 붐,,설치,추락,파손,
고소작업대,받침대 연결부,설치,추락,낙하,장애물 충돌
고소작업대,,도장,추락,충돌,갑작스런 붐 강하
고소작업대,,연결,추락,전도,고소작업대 설치 미흡
고소작업대,,이동,추락,전도,실린더힌지 고정판 파단
고소작업대,,인양,추락,전도,지지용 로프 풀림
고소작업대,,정리,추락,낙하,탈락
고소작업대,,철거,협착,,
교각 기초,,철근조립,협착,전도,철근 전도방지 미조치
교대 기초,,철근조립,협착,붕괴,철근결속 미흡
교량 상부,고소,슬래브,추락,,
교량 상부,고소,앵커천공,추락,,
굴삭기,사면,,협착,전락,유도자 미배치
굴착 및 운반기계,,굴착,충돌,,
굴착사면,가도 상부,이동,충돌,낙석,암반사면 안전성 확인 미흡
굴착사면,대심도,굴착,매몰,붕괴,가시설 시공상세도 및 구조검토 미흡
굴착사면,대심도,정리,매몰,낙하,상부앵커 강도 미흡
굴착사면,대심도,정리,매몰,붕괴,굴착면 기울기
굴착사면,대심도,해체,매몰,낙하,상부앵커 강도 미흡
굴착사면,대심도,해체,매몰,붕괴,굴착면 기울기
굴착사면,옹벽저판,철근배근,매몰,붕괴,수직굴착
굴착사면,하부,굴착,매몰,붕괴,이토 슬라이딩
굴착사면,하천인접,정리,매몰,붕괴,굴착면 기울기
굴착사면,,부설,매몰,붕괴,흙막이 가시설 미설치
굴착사면,,부설,매몰,낙하,상부앵커 강도 미흡
굴착사면,,부설,매몰,붕괴,굴착면 기울기
굴착사면,,부설,매몰,붕괴,작업하중
굴착사면,,관거밴딩,매몰,붕괴,부적절한 흙막이 설치
굴착사면,,관로매설,매몰,붕괴,굴착면 기울기
굴착사면,,관로매설,매몰,낙하,상부앵커 강도 미흡
굴착사면,,관로부설,매몰,낙하,상부앵커 강도 미흡
굴착사면,,관로부설,매몰,붕괴,굴착면 기울기
굴착사면,,관로연결,매몰,낙하,상부앵커 강도 미흡
굴착사면,,관로연결,매몰,붕괴,굴착면 기울기
굴착사면,,굴착,매몰,붕괴,흙막이지보공 배면에 우수유입
굴착사면,,굴착,매몰,낙하,상부앵커 강도 미흡
굴착사면,,굴착,매몰,붕괴,굴착면 기울기
굴착사면,,굴착,,파손,지장물 이설/제거/거치 미조치
굴착사면,,굴착,매몰,붕괴,"굴착공법 및 순서, 토사반출 방법불량"
굴착사면,,굴착,매몰,붕괴,굴착시기 및 작업순서 불량
굴착사면,,굴착,매몰,붕괴,흙막이 가시설 미설치
굴착사면,,굴착,매몰,붕괴,우수 및 용출수 배수처리 미흡
굴착사면,,굴착,매몰,붕괴,건설물 미제거(돌담)
굴착사면,,굴착,매몰,붕괴,굴착토사/자재를 경사면/굴착부 배면에 적재
굴착사면,,굴착 및 정지,매몰,붕괴,굴착면 기울기
굴착사면,,굴착 및 정지,매몰,붕괴,흙막이 가시설 미설치
굴착사면,,레벨측정,매몰,붕괴,굴착면 기울기
굴착사면,,레벨측정,매몰,낙하,상부앵커 강도 미흡
굴착사면,,맞버팀,매몰,낙하,굴착면 기울기
굴착사면,,매설,매몰,붕괴,흙막이 가시설 미설치
굴착사면,,매설,매몰,붕괴,굴착면 기울기
굴착사면,,바닥면정리,매몰,붕괴,굴착면 기울기
굴착사면,,바닥면정리,매몰,낙하,상부앵커 강도 미흡
굴착사면,,배관,매몰,낙하,상부앵커 강도 미흡
굴착사면,,배관,매몰,붕괴,굴착면 기울기
굴착사면,,설치,매몰,붕괴,굴착면 기울기
굴착사면,,설치,매몰,낙하,상부앵커 강도 미흡
굴착사면,,용접,매몰,붕괴,토류판 미설치
굴착사면,,이동,매몰,붕괴,지반상태 불량
굴착사면,,이동,매몰,붕괴,부착토 미제거
굴착사면,,이음부위정리,매몰,붕괴,굴착면 기울기
굴착사면,,이음부위정리,매몰,붕괴,흙막이 가시설 미설치
굴착사면,,자재정리,충돌,낙석,부석 미제거
굴착사면,,점검,매몰,붕괴,굴착면 기울기
굴착사면,,정리,협착,낙하,상부앵커 강도 미흡
굴착사면,,정리,협착,붕괴,굴착면 기울기
굴착사면,,정리,충돌,낙석,
굴착사면,,준비,매몰,낙하,상부앵커 강도 미흡
굴착사면,,준비,매몰,붕괴,굴착면 기울기
굴착사면,,지장물 확인,매몰,붕괴,굴착면 기울기
굴착사면,,지장물 확인,매몰,낙하,상부앵커 강도 미흡
굴착사면,,철근배근,매몰,낙하,상부앵커 강도 미흡
굴착사면,,철근배근,매몰,붕괴,굴착면 기울기
굴착사면,,평탄,매몰,붕괴,굴착면 기울기
굴착사면,,평탄,매몰,낙하,상부앵커 강도 미흡
굴착사면,,평탄 및 지수판 설치,매몰,붕괴,굴착면 기울기
굴착사면,,평탄 및 지수판 설치,매몰,낙하,상부앵커 강도 미흡
굴착사면,,해체,매몰,낙하,상부앵커 강도 미흡
굴착저면,기초바닥,정지,매몰,붕괴,굴착면 기울기
굴착저면,기초바닥,정지,매몰,낙하,상부앵커 강도 미흡
굴착저면,,운반,매몰,붕괴,굴착면 기울기
굴착저면,,운반,매몰,낙하,상부앵커 강도 미흡
낙하물방지망,고소,설치,추락,,
낙하물방지망,고소,설치,추락,낙하,탈락(지지용앵커)
달비계,고소,수평단차확인,추락,낙하,작업발판을 빔위에서 인력으로 인양
담장,상부,쌓기,매몰,붕괴,집중하중
담장,,철거,협착,전도,작업하중
덤프트럭,,운반,충돌,,
데크플레이트,,설치,추락,낙하,탈락
데크플레이트,,타설,추락,낙하,탈락
데크플레이트,,타설,매몰,붕괴,집중하중
드릴,,조립,협착,,
띠장,,해체,충돌,낙하,탈락
막장,상부,,,붕괴,암층
막장,상부,발파,,붕괴,풍화암층 파쇄대
막장,천단부,,,붕괴,단층파쇄대 및 절리
막장,천단부,,,붕괴,쐐기형 파쇄대와 연약대
막장,천단부,,,붕괴,연약대 및 절리
막장,천단부,,,붕괴,"토사층, 풍화암층, 연암 경암층"
막장,천단부,정리,,붕괴,풍화토 및 풍화암
막장,천단부,타설,,붕괴,풍화암 및 절리
